Date,Views,Watch time (hours),Subscribers gained,Subscribers lost
2024-07-14,19,0.15,1,0
2024-07-15,4,0.0167,0,0
2024-07-16,11,0.0833,0,0
2024-07-17,412,2.9333,0,0
2024-07-18,8,0.1,0,0
2024-07-19,15,0.0833,0,0
2024-07-20,13,0.1167,0,0
2024-07-21,1,0.0,0,0
2024-07-22,13,0.1333,0,0
2024-07-23,2,0.0,0,0
2024-07-24,1,0.0,0,0
2024-07-25,0,0.0,0,0
2024-07-26,1,0.0,0,0
2024-07-27,8,0.15,0,0
2024-07-28,8,0.05,0,0
2024-07-29,2,0.0,0,0
2024-07-30,3,0.0333,0,0
2024-07-31,1,0.0167,0,0
2024-08-01,4,0.0167,0,0
2024-08-02,2,0.0167,0,0
2024-08-03,5,0.1,0,0
2024-08-04,5,0.0167,0,0
2024-08-05,3,0.0167,0,0
2024-08-06,5,0.0167,0,0
2024-08-07,0,0.0,0,0
2024-08-08,1,0.0,0,0
2024-08-09,1,0.0,0,0
2024-08-10,4,0.0167,0,0
2024-08-11,3,0.0167,0,0
2024-08-12,3,0.0,0,0
2024-08-13,2,0.0,0,0
2024-08-14,3,0.0,0,0
2024-08-15,4,0.0333,0,0
2024-08-16,409,2.9167,1,1
2024-08-17,341,1.1,0,0
2024-08-18,23,0.1667,0,0
2024-08-19,25,0.1333,0,0
2024-08-20,8,0.0167,0,0
2024-08-21,5,0.0167,0,0
2024-08-22,7,0.05,0,0
2024-08-23,4,0.0,0,0
2024-08-24,5,0.0333,0,0
2024-08-25,9,0.0667,0,0
2024-08-26,1,0.0,0,0
2024-08-27,1,0.0,0,0
2024-08-28,2,0.0,0,0
2024-08-29,2,0.0,0,0
2024-08-30,1,0.0,0,0
2024-08-31,17,0.05,0,0
2024-09-01,30,0.1167,0,0
2024-09-02,81,0.3167,0,0
2024-09-03,451,1.8,2,0
2024-09-04,13,0.0667,0,0
2024-09-05,12,0.05,0,0
2024-09-06,4,0.0,0,0
2024-09-07,6,0.0333,0,0
2024-09-08,11,0.05,0,0
2024-09-09,9,0.0333,0,0
2024-09-10,8,0.0333,0,0
2024-09-11,6,0.0167,0,0
2024-09-12,5,0.0167,0,0
2024-09-13,96,0.3833,0,0
2024-09-14,631,3.2167,0,0
2024-09-15,37,0.1833,0,0
2024-09-16,33,0.1667,0,0
2024-09-17,13,0.05,0,0
2024-09-18,18,0.0667,0,0
2024-09-19,12,0.05,0,0
2024-09-20,6,0.0167,0,0
2024-09-21,10,0.05,0,0
2024-09-22,9,0.05,0,0
2024-09-23,5,0.0333,0,0
2024-09-24,9,0.0333,0,0
2024-09-25,6,0.0167,0,0
2024-09-26,12,0.05,0,0
2024-09-27,6,0.0333,0,0
2024-09-28,6,0.0333,0,0
2024-09-29,10,0.05,0,0
2024-09-30,14,0.0667,0,0
2024-10-01,7,0.0333,0,0
2024-10-02,12,0.05,0,0
2024-10-03,8,0.0333,0,0
2024-10-04,10,0.0833,0,0
2024-10-05,11,0.0333,0,0
2024-10-06,10,0.0667,0,0
2024-10-07,8,0.0333,0,0
2024-10-08,6,0.0167,0,0
2024-10-09,8,0.0333,0,0
2024-10-10,9,0.0333,0,0
2024-10-11,5,0.0167,0,0
2024-10-12,11,0.0333,0,0
2024-10-13,11,0.0667,0,0
2024-10-14,9,0.0333,0,0
2024-10-15,7,0.0333,0,0
2024-10-16,5,0.0167,0,0
2024-10-17,5,0.0167,0,0
2024-10-18,7,0.0333,0,0
2024-10-19,9,0.0333,0,0
2024-10-20,7,0.0167,0,0
2024-10-21,5,0.0167,0,0
2024-10-22,13,0.0667,0,0
2024-10-23,3,0.0,0,0
2024-10-24,11,0.0833,0,0
2024-10-25,6,0.0333,0,0
2024-10-26,9,0.05,0,0
2024-10-27,6,0.0167,0,0
2024-10-28,5,0.0167,0,0
2024-10-29,5,0.0167,0,0
2024-10-30,2,0.0,0,0
2024-10-31,6,0.0,0,0
2024-11-01,2,0.0,0,0
2024-11-02,6,0.0333,0,0
2024-11-03,7,0.0333,0,0
2024-11-04,4,0.0,0,0
2024-11-05,6,0.0167,0,0
2024-11-06,6,0.1667,0,0
2024-11-07,6,0.0167,0,0
2024-11-08,7,0.05,0,0
2024-11-09,2,0.0,0,0
2024-11-10,6,0.0333,0,0
2024-11-11,6,0.0167,0,0
2024-11-12,9,0.0333,0,0
2024-11-13,9,0.0333,0,0
2024-11-14,1,0.0,0,0
2024-11-15,4,0.0,0,0
2024-11-16,8,0.0333,0,0
2024-11-17,11,0.0667,0,0
2024-11-18,6,0.0167,0,0
2024-11-19,8,0.0333,0,0
2024-11-20,5,0.0,0,0
2024-11-21,9,0.0333,0,0
2024-11-22,7,0.0167,0,0
2024-11-23,7,0.0167,0,0
2024-11-24,18,0.2333,0,0
2024-11-25,19,0.0833,0,0
2024-11-26,7,0.1333,0,0
2024-11-27,11,0.0833,0,0
2024-11-28,7,0.0167,0,0
2024-11-29,7,0.0167,0,0
2024-11-30,9,0.0333,0,0
2024-12-01,10,0.0333,0,0
2024-12-02,19,0.0833,0,0
2024-12-03,3,0.0,0,0
2024-12-04,10,0.0333,0,0
2024-12-05,7,0.0667,0,0
2024-12-06,8,0.0167,0,0
2024-12-07,8,0.0333,0,0
2024-12-08,4,0.0167,0,0
2024-12-09,13,0.1167,0,0
2024-12-10,6,0.0167,0,0
2024-12-11,8,0.0333,0,0
2024-12-12,5,0.0167,0,0
2024-12-13,7,0.0333,0,0
2024-12-14,13,0.05,0,0
2024-12-15,6,0.0167,0,0
2024-12-16,3,0.0,0,0
2024-12-17,10,0.05,0,0
2024-12-18,18,0.0833,0,0
2024-12-19,5,0.0167,0,0
2024-12-20,3,0.0,0,0
2024-12-21,15,0.0833,0,0
2024-12-22,6,0.0667,0,0
2024-12-23,6,0.15,0,0
2024-12-24,6,0.0167,0,0
2024-12-25,5,0.0167,0,0
2024-12-26,7,0.0333,0,0
2024-12-27,11,0.0333,0,0
2024-12-28,10,0.1,0,0
2024-12-29,3,0.0,0,0
2024-12-30,8,0.05,0,0
2024-12-31,7,0.1,0,0
2025-01-01,7,0.0167,0,0
2025-01-02,4,0.0,0,0
2025-01-03,9,0.0833,0,0
2025-01-04,9,0.0333,0,0
